"Test Case ID","Test Case Description","Test Case Procedure","Expected Results","Pre-conditions"
"Scenario 1: Customer Management","","","",""
"TC_CUST_01","Test accessing Customer Management page without logging in","1. Open browser.
2. Navigate directly to /AccountManagement?type=user URL.","The system blocks access and automatically redirects the user to /Login page.","The user is not logged into the system."
"TC_CUST_02","Test accessing Customer Management page with Customer role","1. Login to the system with a Customer account.
2. Enter URL /AccountManagement?type=user in browser address bar.","The system denies access and redirects the user to /home page.","The user is logged in with a Customer role account."
"TC_CUST_03","Test accessing Customer Management page with Staff role (Employee / Shipment)","1. Login to the system with a Staff account.
2. Enter URL /AccountManagement?type=user in browser address bar.","The system denies access and redirects the user to /Dashboard page.","The user is logged in with an Employee or Shipment account."
"TC_CUST_04","Test accessing Customer Management page with Admin role","1. Login to the system with an Admin account.
2. Navigate to Dashboard.
3. Click Account Management -> Select Customer Accounts tab.","Access is granted. Customer Accounts list page is displayed properly with all customer data and management tools.","The user is logged in with an Admin role account."
"TC_CUST_05","Test viewing Customer Accounts list","1. Navigate to Account Management page as Admin.
2. Ensure Customer Accounts tab (type=user) is active.","The Customer Accounts table is displayed:
- Table columns: #, Customer Name, Email, Role, Status, Action.
- + Create Staff button is hidden.
- Role selection dropdown is disabled/read-only (displays static Customer text).","Logged in with Admin account on Customer Management tab."
"TC_CUST_06","Test searching customer accounts by valid name","1. Go to Customer Management tab.
2. Enter valid name keyword (e.g., 'Nguyen') in search box.
3. Click Search button.","The table updates and displays only customer accounts whose full name contains 'Nguyen'.","Logged in with Admin account on Customer Management tab."
"TC_CUST_07","Test searching customer accounts by valid email","1. Go to Customer Management tab.
2. Enter email keyword (e.g., 'gmail.com') in search box.
3. Click Search button.","The table updates and displays only customer accounts whose email address contains 'gmail.com'.","Logged in with Admin account on Customer Management tab."
"TC_CUST_08","Test searching customer accounts with non-existent keyword","1. Go to Customer Management tab.
2. Enter a non-existent keyword (e.g., 'xyz99999') in search box.
3. Click Search button.","The table displays an empty state message: 'No matching accounts found.'","Logged in with Admin account on Customer Management tab."
"TC_CUST_09","Test filtering customer accounts by Active status","1. Go to Customer Management tab.
2. Select 'Active' from Status filter dropdown.
3. Form auto-submits.","The table updates to show only customer accounts with ACTIVE status.","Logged in with Admin account on Customer Management tab."
"TC_CUST_10","Test filtering customer accounts by Inactive status","1. Go to Customer Management tab.
2. Select 'Inactive' from Status filter dropdown.
3. Form auto-submits.","The table updates to show only customer accounts with INACTIVE status (grey badge).","Logged in with Admin account on Customer Management tab."
"TC_CUST_11","Test customer accounts list pagination display","1. Go to Customer Management tab with > 5 total customer accounts.
2. Inspect pagination control at table footer.","- Table displays a maximum of 5 customer accounts per page.
- Footer shows pagination bar (e.g., 1 2 3 ... ›).","Logged in with Admin account, total customer accounts > 5."
